Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Protected Index,Do [sword]4 damage[;]|immune to errors,1,attack(4); sfxdamage(target|4);,,EVEN|EVEN,,GRAY,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|errorimmune,,,,,,,,,,,,
Protected Index_upgraded,Do [sword]6 damage[;]|immune to errors,1,attack(6); sfxdamage(target|6);,,EVEN|EVEN,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists|errorimmune,,,,,,,,,,,,
Protected Index_downgraded,Do [sword]2 damage[;]|immune to errors,1,attack(2); sfxdamage(target|2);,,EVEN|EVEN,,GRAY,,,,,0,NO,NO,reunion|excludefromrandomlists|errorimmune,,,,,,,,,,,,
Risk Portfolio,Do [sword]1 damage[;] plus|[sword]1 per unused tails ([sword]<evar:unusedtails>)|,1,if(simulation) { bonus(-1000); } else { var temp = 1; if(self != null) { if(self.dicepool != null){ if(self.dicepool.length > 0) { for(di in self.dicepool) { if(di.available()) { if(di.basevalue % 2 == 1) temp++; } } } } } attack(temp); sfxdamage(target|temp); },,NORMAL,,RED,change_power,change_power,,,2,NO,NO,reunion|excludefromrandomlists,,e.setvar(~unusedtails~[;]1);,e.setvar(~unusedtails~[;]1);,,e.setvar(~unusedtails~[;]1);,var temp = 1; if(self != null) { if(self.dicepool != null){ if(self.dicepool.length > 0) { for(d in self.dicepool) { if(d.available()) { if(d.basevalue % 2 == 1) temp++; } } } } } e.setvar(~unusedtails~[;]temp);,var temp = 1; if(self != null) { if(self.dicepool != null){ if(self.dicepool.length > 0) { for(d in self.dicepool) { if(d.available()) { if(d.basevalue % 2 == 1) temp++; } } } } } e.setvar(~unusedtails~[;]temp);,,,,,
Risk Portfolio_upgraded,Do [sword]1 damage[;] plus|[sword]1 per unused tails ([sword]<evar:unusedtails>)|,1,if(simulation) { bonus(-1000); } else { var temp = 1; if(self != null) { if(self.dicepool != null){ if(self.dicepool.length > 0) { for(di in self.dicepool) { if(di.available()) { if(di.basevalue % 2 == 1) temp++; } } } } } attack(temp); sfxdamage(target|temp); },,NORMAL,,RED,,,,,-1,NO,NO,reunion|excludefromrandomlists,,e.setvar(~unusedtails~[;]1);,e.setvar(~unusedtails~[;]1);,,e.setvar(~unusedtails~[;]1);,var temp = 1; if(self != null) { if(self.dicepool != null){ if(self.dicepool.length > 0) { for(d in self.dicepool) { if(d.available()) { if(d.basevalue % 2 == 1) temp++; } } } } } e.setvar(~unusedtails~[;]temp);,var temp = 1; if(self != null) { if(self.dicepool != null){ if(self.dicepool.length > 0) { for(d in self.dicepool) { if(d.available()) { if(d.basevalue % 2 == 1) temp++; } } } } } e.setvar(~unusedtails~[;]temp);,,,,,
Risk Portfolio_downgraded,Do [sword]1 damage|,1,attack(1); sfxdamage(target|1);,,NORMAL,,RED,,,,,2,NO,NO,reunion|excludefromrandomlists,,e.setvar(~unusedtails~[;]1);,e.setvar(~unusedtails~[;]1);,,e.setvar(~unusedtails~[;]1);,var temp = 1; if(self != null) { if(self.dicepool != null){ if(self.dicepool.length > 0) { for(d in self.dicepool) { if(d.available()) { if(d.basevalue % 2 == 1) temp++; } } } } } e.setvar(~unusedtails~[;]temp);,var temp = 1; if(self != null) { if(self.dicepool != null){ if(self.dicepool.length > 0) { for(d in self.dicepool) { if(d.available()) { if(d.basevalue % 2 == 1) temp++; } } } } } e.setvar(~unusedtails~[;]temp);,,,,,
Pawn Shop,Return two gold coins|[gray](once per battle),1,var coins = []; for(i in 0...2) {coins.push(pick([5|6]));} givedice(coins),,COMBINATION,,YELLOW,change_power,change_power,,,0,YES,YES,reunion|excludefromrandomlists|combination:777,,,,,,,,,,,,
Pawn Shop_upgraded,Return a gold heads|and a gold tails|[gray](once per battle),1,givedice([5|6]);,,COMBINATION,,YELLOW,,,,,0,YES,YES,reunion|excludefromrandomlists|combination:777,,,,,,,,,,,,
Pawn Shop_downgraded,Return two silver coins|[gray](once per battle),1,var coins = []; for(i in 0...2) {coins.push(pick([1|2]));} givedice(coins),,COMBINATION,,YELLOW,,,,,0,YES,YES,reunion|excludefromrandomlists|combination:777,,,,,,,,,,,,
Loan Shark,Do [sword]7 damage. Next|turn[;] take [sword]2 damage,1,attack(7); sfxdamage(target|7); jinx(~Loan Shark~|~take [sword]%VAR% damage~|~Take [sword]%VAR% damage~|~attack(%VAR%); sfxdamage(null|%VAR%);~|self|self|1|2);  sfx(~_thinghappens~);,,COMBINATION,,RED,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|combination:ht,,,,,,,,,,,,
Loan Shark_upgraded,Do [sword]7 damage. In [jinx]2|turns[;] take [sword]2 damage,1,attack(7); sfxdamage(target|7); jinx(~Loan Shark~|~take [sword]%VAR% damage~|~Take [sword]%VAR% damage~|~attack(%VAR%); sfxdamage(null|%VAR%);~|self|self|2|2);  sfx(~_thinghappens~);,,COMBINATION,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:ht,,,,,,,,,,,,
Loan Shark_downgraded,Do [sword]4 damage. Next|turn[;] take [sword]2 damage,1,attack(4); sfxdamage(target|4); jinx(~Loan Shark~|~take [sword]%VAR% damage~|~Take [sword]%VAR% damage~|~attack(%VAR%); sfxdamage(null|%VAR%);~|self|self|1|2);  sfx(~_thinghappens~);,,COMBINATION,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:ht,,,,,,,,,,,,
Tax Break,Heads: Do [sword]3 damage|Tails: Delay jinxes by [jinx]1,1,if(d%2==0) {attack(3); sfxdamage(target|3);} else {if(self.status.length > 0) {var t = self.status.copy(); for(st in t){if (st.type.split(~_~)[0] == ~jinx~) {st.add(2);} }  boostjinxcountdowns(self|1); } },,NORMAL,,PINK,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,if(d%2 == 0){ e.castdirection = 1; } else { e.castdirection = -1; },,,
Tax Break_upgraded,Heads: Do [sword]3 damage|Tails: Delay jinxes by [jinx]1|,1,if(d%2==0) {attack(3); sfxdamage(target|3);} else {if(self.status.length > 0) {var t = self.status.copy(); for(st in t){if (st.type.split(~_~)[0] == ~jinx~) {st.add(2);} }  boostjinxcountdowns(self|1); } },,NORMAL,,PINK,,,,,2,NO,NO,reunion|excludefromrandomlists,,,,,,,,,if(d%2 == 0){ e.castdirection = 1; } else { e.castdirection = -1; },,,
Tax Break_downgraded,Do [sword]2 damage,1,attack(2); sfxdamage(target|2);,,EVEN,,PINK,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,if(d%2 == 0){ e.castdirection = 1; } else { e.castdirection = -1; },,,
Blocked Funds,Do [sword]2 damage|On Gold: Gain [shield]2|,1,attack(2); sfxdamage(target|2); if(d>=5) {inflictself(SHIELD|2); sfx(~_shield~);},,NORMAL,,ORANGE,change_power,change_power,,,-1,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Blocked Funds_upgraded,Do [sword]3 damage|On Gold: Gain [shield]3|,1,attack(3); sfxdamage(target|3); if(d>=5) {inflictself(SHIELD|3); sfx(~_shield~);},,NORMAL,,ORANGE,,,,,-1,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Blocked Funds_downgraded,On Gold: Do [sword]2 damage| and gain [shield]2|,1,if(d>=5) {attack(2); sfxdamage(target|2); inflictself(SHIELD|2); sfx(~_shield~);},,NORMAL,,ORANGE,,,,,-1,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Downturn,Do [sword]5 damage|Add a Tails to the CPU,1,attack(5); sfxdamage(target|5); adjustrobotcounter(1); sfx(~jackpot_increasecounter~);,,COMBINATION,,GREEN,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|combination:ttt,,,,,,,,,,,,
Downturn_upgraded,Do [sword]7 damage|Add a Tails to the CPU,1,attack(7); sfxdamage(target|7); adjustrobotcounter(1); sfx(~jackpot_increasecounter~);,,COMBINATION,,GREEN,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:ttt,,,,,,,,,,,,
Downturn_downgraded,Do [sword]2 damage|Add a Tails to the CPU,1,attack(2); sfxdamage(target|2); adjustrobotcounter(1); sfx(~jackpot_increasecounter~);,,COMBINATION,,GREEN,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:ttt,,,,,,,,,,,,
Defraud,Do [sword]3 damage|Delay jinxes by [jinx]3 turns|[gray](once per battle),1,attack(3); sfxdamage(target|3); if(self.status.length > 0) {var t = self.status.copy(); for(st in t){if (st.type.split(~_~)[0] == ~jinx~) {st.add(4);} }  boostjinxcountdowns(self|1); },,NORMAL,,PINK,change_power,change_power,,,0,NO,YES,reunion|excludefromrandomlists,,,,,,,,,,,,
Defraud_upgraded,Do [sword]5 damage|Delay jinxes by [jinx]5 turns|[gray](once per battle),1,attack(5); sfxdamage(target|5); if(self.status.length > 0) {var t = self.status.copy(); for(st in t){if (st.type.split(~_~)[0] == ~jinx~) {st.add(6);} }  boostjinxcountdowns(self|1); },,NORMAL,,PINK,,,,,0,NO,YES,reunion|excludefromrandomlists,,,,,,,,,,,,
Defraud_downgraded,Do [sword]3 damage|[gray](once per battle),1,attack(3); sfxdamage(target|3);,,NORMAL,,PINK,,,,,0,NO,YES,reunion|excludefromrandomlists,,,,,,,,,,,,
Pump and Dump,Convert to gold. Next turn[;]|the enemy gains [fury]fury,1,givedice(d+4);  jinx(~Pump and Dump~|~the enemy gains [fury]fury~|~The enemy gains [fury]fury~|~inflictself(FURY); sfx(\~_fury\~);~|self|self|1|1);,,NORMAL,,ORANGE,change_power,change_power,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Pump and Dump_upgraded,Convert to gold. In [jinx]2 turns[;]|the enemy gains [fury]fury,1,givedice(d+4);  jinx(~Pump and Dump~|~the enemy gains [fury]fury~|~The enemy gains [fury]fury~|~inflictself(FURY); sfx(\~_fury\~);~|self|self|2|1);,,NORMAL,,ORANGE,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Pump and Dump_downgraded,Flip this coin. Next turn[;]|the enemy gains [fury]fury,1,if(d<=2) {givedice(3-d);} else {givedice((7-d)+4)}  jinx(~Pump and Dump~|~the enemy gains [fury]fury~|~The enemy gains [fury]fury~|~inflictself(FURY); sfx(\~_fury\~);~|self|self|1|1);,,NORMAL,,ORANGE,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Toss Up,Do [sword]3 damage[;] randomly|flip unused coins,2,attack(3); sfxdamage(target[;]3); var c = 0; for (mydice in self.dicepool){ if (mydice.available() && !mydice.intween()){ if(mydice.basevalue<=2) {mydice.animatereroll(rand([1|2]) | self.screenposition() | c * 0.05);} else {mydice.animatereroll(rand([5|6]) | self.screenposition() | c * 0.05);} c++; } },,NORMAL,,ORANGE,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Toss Up_upgraded,Do [sword]3 damage[;] randomly|flip unused coins,1,attack(3); sfxdamage(target[;]3); var c = 0; for (mydice in self.dicepool){ if (mydice.available() && !mydice.intween()){ if(mydice.basevalue<=2) {mydice.animatereroll(rand([1|2]) | self.screenposition() | c * 0.05);} else {mydice.animatereroll(rand([5|6]) | self.screenposition() | c * 0.05);} c++; } },,NORMAL,,ORANGE,,,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Toss Up_downgraded,Randomly flip unused coins,2,var c = 0; for (mydice in self.dicepool){ if (mydice.available() && !mydice.intween()){ if(mydice.basevalue<=2) {mydice.animatereroll(rand([1|2]) | self.screenposition() | c * 0.05);} else {mydice.animatereroll(rand([5|6]) | self.screenposition() | c * 0.05);} c++; } },,NORMAL,,ORANGE,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Toss Up_weakened,Randomly flip unused coins,1,var c = 0; for (mydice in self.dicepool){ if (mydice.available() && !mydice.intween()){ if(mydice.basevalue<=2) {mydice.animatereroll(rand([1|2]) | self.screenposition() | c * 0.05);} else {mydice.animatereroll(rand([5|6]) | self.screenposition() | c * 0.05);} c++; } },,NORMAL,,ORANGE,,,,,0,YES,NO,reunion|excludefromrandomlists,,,,,,,,,,,,
Goldeneye Old,Do [sword] 4 damage. On|second gold[;] gain 1 dodge|,2,attack(4); sfxdamage(target|4); var goldUsed = e.getvar(~goldUsed~); if(d>=5) {goldUsed++;} if(goldUsed==2) {inflictself(DODGE);} e.setvar(~goldUsed~|goldUsed),,NORMAL,,YELLOW,change_power,change_power,,,2,NO,NO,reunion|excludefromrandomlists,,e.setvar(~goldUsed~|0),e.setvar(~goldUsed~|0),,e.setvar(~goldUsed~|0),,,e.setvar(~goldUsed~|0),,,,
Goldeneye Old_upgraded,Do [sword] 4 damage. On|second gold[;] gain 1 dodge|,1,attack(4); sfxdamage(target|4); var goldUsed = e.getvar(~goldUsed~); if(d>=5) {goldUsed++;} if(goldUsed==2) {inflictself(DODGE);} e.setvar(~goldUsed~|goldUsed),,NORMAL,,YELLOW,,,,,2,NO,NO,reunion|excludefromrandomlists,,e.setvar(~goldUsed~|0),e.setvar(~goldUsed~|0),,e.setvar(~goldUsed~|0),,,e.setvar(~goldUsed~|0),,,,
Goldeneye Old_downgraded,Do [sword] 1 damage. On|second gold[;] gain 1 dodge|,2,attack(1); sfxdamage(target|1); var goldUsed = e.getvar(~goldUsed~); if(d>=5) {goldUsed++;} if(goldUsed==2) {inflictself(DODGE);} e.setvar(~goldUsed~|goldUsed),,NORMAL,,YELLOW,,,,,2,NO,NO,reunion|excludefromrandomlists,,e.setvar(~goldUsed~|0),e.setvar(~goldUsed~|0),,e.setvar(~goldUsed~|0),,,e.setvar(~goldUsed~|0),,,,
Goldeneye Old_weakened,Do [sword] 1 damage. On|second gold[;] gain 1 dodge|,1,attack(1); sfxdamage(target|1); var goldUsed = e.getvar(~goldUsed~); if(d>=5) {goldUsed++;} if(goldUsed==2) {inflictself(DODGE);} e.setvar(~goldUsed~|goldUsed),,NORMAL,,YELLOW,,,,,2,NO,NO,reunion|excludefromrandomlists,,e.setvar(~goldUsed~|0),e.setvar(~goldUsed~|0),,e.setvar(~goldUsed~|0),,,e.setvar(~goldUsed~|0),,,,
Goldeneye,Do [sword]4 damage. On|gold[;] instead gain 1 dodge,1,if(d>=5) {inflictself(DODGE); sfx(~_dodge~);} else {attack(4); sfxdamage(target|4);},,EVEN,,YELLOW,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,if(d <= 2){ e.castdirection = 1; } else { e.castdirection = -1; },,,
Goldeneye_upgraded,Do [sword]4 damage. On|gold[;] instead gain 1 dodge,1,if(d>=5) {inflictself(DODGE); sfx(~_dodge~);} else {attack(4); sfxdamage(target|4);},,NORMAL,,YELLOW,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,if(d <= 2){ e.castdirection = 1; } else { e.castdirection = -1; },,,
Goldeneye_downgraded,Do [sword]2 damage. On|gold[;] instead gain 1 [shield]shield,1,if(d>=5) {inflictself(SHIELD); sfx(~_shield~);} else {attack(2); sfxdamage(target|2);},,EVEN,,YELLOW,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists,,,,,,,,,if(d <= 2){ e.castdirection = 1; } else { e.castdirection = -1; },,,
Rollback,Do [sword] <evar:currdamage> damage. At|start of turn[;] reduce dmg|by [sword]1 per dice in this,2,var currdamage = e.getvar(~currdamage~); attack(currdamage); sfxdamage(target|currdamage); e.dicehistory = [];,,COMBINATION,,RED,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|combination:hthth,,e.setvar(~currdamage~|25);,e.setvar(~currdamage~|25);,,var len = e.dicehistory.length; var currdamage = e.getvar(~currdamage~); e.setvar(~currdamage~|currdamage-len); if(len > 0) {e.animate(~flashandshake~);} self.textparticle(e.dicehistory.length);,,,,,,,
Rollback_upgraded,Do [sword] <evar:currdamage> damage. At|start of turn[;] reduce dmg|by [sword]1 per dice in this,2,var currdamage = e.getvar(~currdamage~); attack(currdamage); sfxdamage(target|currdamage); e.dicehistory = [];,,COMBINATION,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:hthth,,e.setvar(~currdamage~|28);,e.setvar(~currdamage~|28);,,var len = e.dicehistory.length; var currdamage = e.getvar(~currdamage~); e.setvar(~currdamage~|currdamage-len); if(len > 0) {e.animate(~flashandshake~);},,,,,,,
Rollback_downgraded,No effect on use. At|start of turn[;] reduce dmg|by [sword]1 per dice in this,2,e.dicehistory = []; //Combinations and dice history doesn't work,,COMBINATION,,RED,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:hthth,,e.setvar(~currdamage~|25);,e.setvar(~currdamage~|25);,,var len = e.dicehistory.length; var currdamage = e.getvar(~currdamage~); e.setvar(~currdamage~|currdamage-len); if(len > 0) {e.animate(~flashandshake~);},,,,,,,
Asset Freeze,Do [ice]9 damage. Next|turn[;] freeze [ice]3 coins,2,attack(9|ICE); jinx(~Asset Freeze~|~freeze [ice]%VAR% coins~|~Receive [ice]%VAR% freeze~|~inflict(ICE|%VAR%); sfx(\~_ice\~);~|self|self|1|3); sfx(~_ice~);,,COMBINATION,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,reunion|excludefromrandomlists|combination:hh,,,,,,,,,,,,
Asset Freeze_upgraded,Do [ice]12 damage. Next|turn[;] freeze [ice]3 coins,2,attack(12|ICE); jinx(~Asset Freeze~|~freeze [ice]%VAR% coins~|~Receive [ice]%VAR% freeze~|~inflict(ICE|%VAR%); sfx(\~_ice\~);~|self|self|1|3); sfx(~_ice~);,,COMBINATION,,BRIGHTCYAN,,,,,0,NO,NO,reunion|excludefromrandomlists|combination:hh,,,,,,,,,,,,
